The,at
Fulton,np
County,nn
Grand,jj
Jury,nn
said,vbd
Friday,nr
an,at
investigation,nn
of,in
s,np
recent,jj
primary,nn
election,nn
produced,vbd
no,at
evidence,nn
that,cs
any,dti
irregularities,nns
took,vbd
place,nn
The,at
jury,nn
further,rbr
said,vbd
in,in
end,nn
presentments,nns
that,cs
the,at
City,nn
Executive,jj
Committee,nn
which,wdt
had,hvd
all,jj
charge,nn
of,in
the,at
election,nn
deserves,vbz
the,at
praise,nn
and,cc
thanks,nns
of,in
the,at
City,nn
of,in
Atlanta,np
for,in
the,at
manner,nn
in,in
which,wdt
the,at
election,nn
was,bedz
conducted,vbn
The,at
October,np
term,nn
jury,nn
had,hvd
been,ben
charged,vbn
by,in
Fulton,np
Superior,jj
Court,nn
Judge,nn
Durwood,np
Pye,np
to,to
investigate,vb
reports,nns
of,in
possible,jj
irregularities,nns
in,in
the,at
fought,jj
primary,nn
which,wdt
was,bedz
won,vbn
by,in
nominate,nn
Ivan,np
Allen,np
Only,rb
a,at
relative,jj
handful,nn
of,in
such,jj
reports,nns
was,bedz
received,vbn
the,at
jury,nn
said,vbd
considering,in
the,at
widespread,jj
interest,nn
in,in
the,at
election,nn
the,at
number,nn
of,in
voters,nns
and,cc
the,at
size,nn
of,in
this,dt
city,nn
The,at
jury,nn
said,vbd
it,pps
did,dod
find,vb
that,cs
many,ap
of,in
s,np
registration,nn
and,cc
election,nn
laws,nns
are,ber
outmoded,jj
or,cc
inadequate,jj
and,cc
often,rb
ambiguous,jj
It,pps
recommended,vbd
that,cs
Fulton,np
legislators,nns
act,vb
to,to
have,hv
these,dts
laws,nns
studied,vbn
and,cc
revised,vbn
to,in
the,at
end,nn
of,in
modernizing,vbg
and,cc
improving,vbg
them,ppo
The,at
grand,jj
jury,nn
commented,vbd
on,in
a,at
number,nn
of,in
other,ap
topics,nns
among,in
them,ppo
the,at
Atlanta,np
and,cc
Fulton,np
County,nn
purchasing,vbg
departments,nns
which,wdt
it,pps
said,vbd
are,ber
well,ql
operated,vbn
and,cc
follow,vb
generally,rb
accepted,vbn
practices,nns
which,wdt
inure,vb
to,in
the,at
best,jjt
interest,nn
of,in
both,abx
governments,nns
Merger,nn
proposed,vbn
However,wrb
the,at
jury,nn
said,vbd
it,pps
believes,vbz
these,dts
two,cd
offices,nns
should,md
be,be
combined,vbn
to,to
achieve,vb
greater,jjr
efficiency,nn
and,cc
reduce,vb
the,at
cost,nn
of,in
administration,nn
The,at
City,nn
Purchasing,vbg
Department,nn
the,at
jury,nn
said,vbd
is,bez
lacking,vbg
in,in
experienced,vbn
clerical,jj
personnel,nns
as,cs
a,at
result,nn
of,in
city,nn
personnel,nns
policies,nns
It,pps
urged,vbd
that,cs
the,at
city,nn
take,vb
steps,nns
to,to
remedy,vb
this,dt
problem,nn
Implementation,nn
of,in
s,np
automobile,nn
title,nn
law,nn
was,bedz
also,rb
recommended,vbn
by,in
the,at
outgoing,jj
jury,nn
It,pps
urged,vbd
that,cs
the,at
next,ap
Legislature,nn
provide,vb
enabling,vbg
funds,nns
and,cc
set,vb
the,at
effective,jj
date,nn
so,cs
that,cs
an,at
orderly,jj
implementation,nn
of,in
the,at
law,nn
may,md
be,be
effected,vbn
The,at
grand,jj
jury,nn
took,vbd
a,at
swipe,nn
at,in
the,at
State,nn
Welfare,nn
s,nn
handling,nn
of,in
federal,jj
funds,nns
granted,vbn
for,in
child,nn
welfare,nn
services,nns
in,in
foster,jj
homes,nns
This,dt
is,bez
one,cd
of,in
the,at
major,jj
items,nns
in,in
the,at
Fulton,np
County,nn
general,jj
assistance,nn
program,nn
the,at
jury,nn
said,vbd
but,cc
the,at
State,nn
Welfare,nn
Department,nn
has,hvz
seen,vbn
fit,jj
to,to
distribute,vb
these,dts
funds,nns
through,in
the,at
welfare,nn
departments,nns
of,in
all,abn
the,at
counties,nns
in,in
the,at
state,nn
with,in
the,at
exception,nn
of,in
Fulton,np
County,nn
which,wdt
receives,vbz
none,pn
of,in
this,dt
money,nn
The,at
jurors,nns
said,vbd
they,ppss
realize,vb
a,at
proportionate,jj
distribution,nn
of,in
these,dts
funds,nns
might,md
disable,vb
this,dt
program,nn
in,in
our,pp
less,ql
populous,jj
counties,nns
Nevertheless,rb
we,ppss
feel,vb
that,cs
in,in
the,at
future,nn
Fulton,np
County,nn
should,md
receive,vb
some,dti
portion,nn
of,in
these,dts
available,jj
funds,nns
the,at
jurors,nns
said,vbd
Failure,nn
to,to
do,do
this,dt
will,md
continue,vb
to,to
place,vb
a,at
disproportionate,jj
burden,nn
on,in
Fulton,np
taxpayers,nns
The,at
jury,nn
also,rb
commented,vbd
on,in
the,at
Fulton,np
s,nn
court,nn
which,wdt
has,hvz
been,ben
under,in
fire,nn
for,in
its,pp
practices,nns
in,in
the,at
appointment,nn
of,in
appraisers,nns
guardians,nns
and,cc
administrators,nns
and,cc
the,at
awarding,nn
of,in
fees,nns
and,cc
compensation,nn
Wards,nns
protected,vbn
The,at
jury,nn
said,vbd
it,pps
found,vbd
the,at
court,nn
has,hvz
incorporated,vbn
into,in
its,pp
operating,vbg
procedures,nns
the,at
recommendations,nns
of,in
two,cd
previous,jj
grand,jj
juries,nns
the,at
Atlanta,np
Bar,nn
Association,nn
and,cc
an,at
interim,nn
citizens,nns
committee,nn
These,dts
actions,nns
should,md
serve,vb
to,to
protect,vb
in,in
fact,nn
and,cc
in,in
effect,nn
the,at
s,nn
wards,nns
from,in
undue,jj
costs,nns
and,cc
its,pp
appointed,vbn
and,cc
elected,vbn
servants,nns
from,in
unmeritorious,jj
criticisms,nns
the,at
jury,nn
said,vbd
Regarding,in
s,np
new,jj
dollar,jj
airport,nn
the,at
jury,nn
recommended,vbd
that,cs
when,wrb
the,at
new,jj
management,nn
takes,vbz
charge,nn
1,cd
the,at
airport,nn
be,be
operated,vbn
in,in
a,at
manner,nn
that,wps
will,md
eliminate,vb
political,jj
influences,nns
The,at
jury,nn
did,dod
elaborate,vb
but,cc
it,pps
added,vbd
that,cs
there,ex
should,md
be,be
periodic,jj
surveillance,nn
of,in
the,at
pricing,vbg
practices,nns
of,in
the,at
concessionaires,nns
for,in
the,at
purpose,nn
of,in
keeping,vbg
the,at
prices,nns
reasonable,jj
Ask,vb
jail,nn
deputies,nns
On,in
other,ap
matters,nns
the,at
jury,nn
recommended,vbd
that,cs
1,cd
Four,cd
additional,jj
deputies,nns
be,be
employed,vbn
at,in
the,at
Fulton,np
County,nn
Jail,nn
and,cc
a,at
doctor,nn
medical,jj
intern,nn
or,cc
extern,nn
be,be
employed,vbn
for,in
night,nn
and,cc
weekend,nn
duty,nn
at,in
the,at
jail,nn
2,cd
Fulton,np
legislators,nns
work,vb
with,in
city,nn
officials,nns
to,to
pass,vb
enabling,vbg
legislation,nn
that,wps
will,md
permit,vb
the,at
establishment,nn
of,in
a,at
fair,jj
and,cc
equitable,jj
pension,nn
plan,nn
for,in
city,nn
employes,nns
The,at
jury,nn
praised,vbd
the,at
administration,nn
and,cc
operation,nn
of,in
the,at
Atlanta,np
Police,nns
Department,nn
the,at
Fulton,np
Tax,nn
s,nn
Office,nn
the,at
Bellwood,np
and,cc
Alpharetta,np
prison,nn
farms,nns
Grady,np
Hospital,nn
and,cc
the,at
Fulton,np
Health,nn
Department,nn
Mayor,nn
William,np
Hartsfield,np
filed,vbd
suit,nn
for,in
divorce,nn
from,in
his,pp
wife,nn
Pearl,np
Williams,np
Hartsfield,np
in,in
Fulton,np
Superior,jj
Court,nn
Friday,nr
His,pp
petition,nn
charged,vbd
mental,jj
cruelty,nn
The,at
couple,nn
was,bedz
married,vbn
2,cd
1913,cd
They,ppss
have,hv
a,at
son,nn
William,np
Berry,np
and,cc
a,at
daughter,nn
Cheshire,np
of,in
Griffin,np
Attorneys,nns
for,in
the,at
mayor,nn
said,vbd
that,cs
an,at
amicable,jj
property,nn
settlement,nn
has,hvz
been,ben
agreed,vbn
upon,rb
The,at
petition,nn
listed,vbd
the,at
s,nn
occupation,nn
as,cs
attorney,nn
and,cc
his,pp
age,nn
as,cs
71,cd
It,pps
listed,vbd
his,pp
s,nn
age,nn
as,cs
74,cd
and,cc
place,nn
of,in
birth,nn
as,cs
Opelika,np
The,at
petition,nn
said,vbd
that,cs
the,at
couple,nn
has,hvz
lived,vbn
together,rb
as,cs
man,nn
and,cc
wife,nn
for,in
more,ap
than,in
a,at
year,nn
The,at
Hartsfield,np
home,nr
is,bez
at,in
637,cd
Pelham,np
Aj,nn
Henry,np
Bowden,np
was,bedz
listed,vbn
on,in
the,at
petition,nn
as,cs
the,at
s,nn
attorney,nn
Hartsfield,np
has,hvz
been,ben
mayor,nn
of,in
Atlanta,np
with,in
exception,nn
of,in
one,cd
brief,jj
interlude,nn
since,in
1937,cd
His,pp
political,jj
career,nn
goes,vbz
back,rb
to,in
his,pp
election,nn
to,in
city,nn
council,nn
in,in
1923,cd
The,at
s,nn
present,jj
term,nn
of,in
office,nn
expires,vbz
1,cd
He,pps
will,md
be,be
succeeded,vbn
by,in
Ivan,np
Allen,np
who,wps
became,vbd
a,at
candidate,nn
in,in
the,at
13,cd
primary,nn
after,cs
Mayor,nn
Hartsfield,np
announced,vbd
that,cs
he,pps
would,md
run,vb
for,in
reelection,nn
Georgia,np
Republicans,nps
are,ber
getting,vbg
strong,jj
encouragement,nn
to,to
enter,vb
a,at
candidate,nn
in,in
the,at
1962,cd
s,nn
race,nn
a,at
top,jjs
official,nn
said,vbd
Wednesday,nr
Robert,np
Snodgrass,np
state,nn
GOP,nn
chairman,nn
said,vbd
a,at
meeting,nn
held,vbn
Tuesday,nr
night,nn
in,in
Blue,jj
Ridge,nn
brought,vbd
enthusiastic,jj
responses,nns
from,in
the,at
audience,nn
State,nn
Party,nn
Chairman,nn
James,np
Dorsey,np
added,vbd
that,cs
enthusiasm,nn
was,bedz
picking,vbg
up,rp
for,in
a,at
state,nn
rally,nn
to,to
be,be
held,vbn
8,cd
in,in
Savannah,np
at,in
which,wdt
newly,rb
elected,vbn
Texas,np
John,np
Tower,np
will,md
be,be
the,at
featured,vbn
speaker,nn
In,in
the,at
Blue,jj
Ridge,nn
meeting,nn
the,at
audience,nn
was,bedz
warned,vbn
that,cs
entering,vbg
a,at
candidate,nn
for,in
governor,nn
would,md
force,vb
it,ppo
to,to
take,vb
petitions,nns
out,rp
into,in
voting,vbg
precincts,nns
to,to
obtain,vb
the,at
signatures,nns
of,in
registered,vbn
voters,nns
Despite,in
the,at
warning,vbg
there,ex
was,bedz
a,at
unanimous,jj
vote,nn
to,to
enter,vb
a,at
candidate,nn
according,in
to,in
Republicans,nps
who,wps
attended,vbd
When,wrb
the,at
crowd,nn
was,bedz
asked,vbn
whether,cs
it,pps
wanted,vbd
to,to
wait,vb
one,cd
more,ap
term,nn
to,to
make,vb
the,at
race,nn
it,pps
voted,vbd
no,rb
and,cc
there,ex
were,bed
no,at
dissents,nns
The,at
largest,jjt
hurdle,nn
the,at
Republicans,nps
would,md
have,hv
to,to
face,vb
is,bez
a,at
state,nn
law,nn
which,wdt
says,vbz
that,cs
before,cs
making,vbg
a,at
first,od
race,nn
one,cd
of,in
two,cd
alternative,jj
courses,nns
must,md
be,be
taken,vbn
1,cd
Five,cd
per,in
cent,nn
of,in
the,at
voters,nns
in,in
each,dt
county,nn
must,md
sign,vb
petitions,nns
requesting,vbg
that,cs
the,at
Republicans,nps
be,be
allowed,vbn
to,to
place,vb
names,nns
of,in
candidates,nns
on,in
the,at
general,jj
election,nn
ballot,nn
or,cc
2,cd
The,at
Republicans,nps
must,md
hold,vb
a,at
primary,nn
under,in
the,at
county,nn
unit,nn
system,nn
a,at
system,nn
which,wdt
the,at
party,nn
opposes,vbz
in,in
its,pp
platform,nn
Sam,np
Caldwell,np
State,nn
Highway,nn
Department,nn
public,jj
relations,nns
director,nn
resigned,vbd
Tuesday,nr
to,to
work,vb
for,in
Garland,np
s,np
campaign,nn
s,np
resignation,nn
had,hvd
been,ben
expected,vbn
for,in
some,dti
time,nn
He,pps
will,md
be,be
succeeded,vbn
by,in
Rob,np
Ledford,np
of,in
Gainesville,np
who,wps
has,hvz
been,ben
an,at
assistant,nn
more,ap
than,in
three,cd
years,nns
When,wrb
the,at
gubernatorial,jj
campaign,nn
starts,vbz
Caldwell,np
is,bez
expected,vbn
to,to
become,vb
a,at
campaign,nn
coordinator,nn
for,in
Byrd,np
The,at
Georgia,np
Legislature,nn
will,md
wind,vb
up,rp
its,pp
1961,cd
session,nn
Monday,nr
and,cc
head,vb
for,in
home,nr
where,wrb
some,dti
of,in
the,at
highway,nn
bond,nn
money,nn
it,pps
approved,vbd
will,md
follow,vb
shortly,rb
Before,in
adjournment,nn
Monday,nr
afternoon,nn
the,at
Senate,nn
is,bez
expected,vbn
to,to
approve,vb
a,at
study,nn
of,in
the,at
number,nn
of,in
legislators,nns
allotted,vbn
to,in
rural,jj
and,cc
urban,jj
areas,nns
to,to
determine,vb
what,wdt
adjustments,nns
should,md
be,be
made,vbn
Vandiver,np
is,bez
expected,vbn
to,to
make,vb
the,at
traditional,jj
visit,nn
to,in
both,abx
chambers,nns
as,cs
they,ppss
work,vb
toward,in
adjournment,nn
Vandiver,np
likely,rb
will,md
mention,vb
the,at
100,nns
million,cd
highway,nn
bond,nn
issue,nn
approved,vbn
earlier,rbr
in,in
the,at
session,nn
as,cs
his,pp
first,od
priority,nn
item,nn
Construction,nn
bonds,nns
Meanwhile,rb
it,pps
was,bedz
learned,vbn
the,at
State,nn
Highway,nn
Department,nn
is,bez
very,ql
near,rb
being,beg
ready,jj
to,to
issue,vb
the,at
first,od
30,nns
million,cd
worth,nn
of,in
highway,nn
reconstruction,nn
bonds,nns
The,at
bond,nn
issue,nn
will,md
go,vb
to,in
the,at
state,nn
courts,nns
for,in
a,at
friendly,jj
test,nn
suit,nn
to,to
test,vb
the,at
validity,nn
of,in
the,at
act,nn
and,cc
then,rb
the,at
sales,nns
will,md
begin,vb
and,cc
contracts,nns
let,vbn
for,in
repair,nn
work,nn
on,in
some,dti
of,in
s,np
most,ql
heavily,rb
traveled,vbn
highways,nns
A,at
Highway,nn
Department,nn
source,nn
said,vbd
there,ex
also,rb
is,bez
a,at
plan,nn
there,rb
to,to
issue,vb
some,dti
3,nns
million,cd
to,in
4,nns
million,cd
worth,nn
of,in
Rural,jj
Roads,nns
Authority,nn
bonds,nns
for,in
rural,jj
road,nn
construction,nn
work,nn
A,at
revolving,vbg
fund,nn
The,at
department,nn
apparently,rb
intends,vbz
to,to
make,vb
the,at
Rural,jj
Roads,nns
Authority,nn
a,at
revolving,vbg
fund,nn
under,in
which,wdt
new,jj
bonds,nns
would,md
be,be
issued,vbn
every,at
time,nn
a,at
portion,nn
of,in
the,at
old,jj
ones,nns
are,ber
paid,vbn
off,rp
by,in
tax,nn
authorities,nns
Vandiver,np
opened,vbd
his,pp
race,nn
for,in
governor,nn
in,in
1958,cd
with,in
a,at
battle,nn
in,in
the,at
Legislature,nn
against,in
the,at
issuance,nn
of,in
50,nns
million,cd
worth,nn
of,in
additional,jj
rural,jj
roads,nns
bonds,nns
proposed,vbn
by,in
then,rb
Marvin,np
Griffin,np
The,at
Highway,nn
Department,nn
source,nn
told,vbd
The,at
Constitution,nn
however,wrb
that,cs
Vandiver,np
has,hvz
been,ben
consulted,vbn
yet,rb
about,in
the,at
plans,nns
to,to
issue,vb
the,at
new,jj
rural,jj
roads,nns
bonds,nns
Schley,np
County,nn
Pelham,np
will,md
offer,vb
a,at
resolution,nn
Monday,nr
in,in
the,at
House,nn
to,to
rescind,vb
the,at
s,nn
action,nn
of,in
Friday,nr
in,in
voting,vbg
itself,ppl
a,at
10,nns
per,in
day,nn
increase,nn
in,in
expense,nn
allowances,nns
Pelham,np
said,vbd
Sunday,nr
night,nn
there,ex
was,bedz
research,nn
being,beg
done,vbn
on,in
whether,cs
the,at
quickie,nn
vote,nn
on,in
the,at
increase,nn
can,md
be,be
repealed,vbn
outright,rb
or,cc
whether,cs
notice,nn
would,md
have,hv
to,to
first,rb
be,be
given,vbn
that,cs
reconsideration,nn
of,in
the,at
action,nn
would,md
be,be
sought,vbn
While,cs
emphasizing,vbg
that,cs
technical,jj
details,nns
were,bed
fully,rb
worked,vbn
out,rp
Pelham,np
said,vbd
his,pp
resolution,nn
would,md
seek,vb
to,to
set,vb
aside,rb
the,at
privilege,nn
resolution,nn
which,wdt
the,at
House,nn
voted,vbd
through,in
31,cd
A,at
similar,jj
resolution,nn
passed,vbd
in,in
the,at
Senate,nn
by,in
a,at
vote,nn
of,in
5,cd
As,in
of,in
Sunday,nr
night,nn
there,ex
was,bedz
no,at
word,nn
of,in
a,at
resolution,nn
being,beg
offered,vbn
there,rb
to,to
rescind,vb
the,at
action,nn
Pelham,np
pointed,vbd
out,rp
that,cs
Georgia,np
voters,nns
last,ap
November,np
rejected,vbd
a,at
constitutional,jj
amendment,nn
to,to
allow,vb
legislators,nns
to,to
vote,vb
on,in
pay,nn
raises,nns
for,in
future,jj
Legislature,nn
sessions,nns
A,at
veteran,jj
Jackson,np
County,nn
legislator,nn
will,md
ask,vb
the,at
Georgia,np
House,nn
Monday,nr
to,to
back,vb
federal,jj
aid,nn
to,in
education,nn
something,pn
it,pps
has,hvz
consistently,rb
opposed,vbn
in,in
the,at
past,nn
Mac,np
Barber,np
of,in
Commerce,nn
is,bez
asking,vbg
the,at
House,nn
in,in
a,at
privilege,nn
resolution,nn
to,to
endorse,vb
increased,vbn
federal,jj
support,nn
for,in
public,jj
education,nn
provided,vbn
that,cs
such,jj
funds,nns
be,be
received,vbn
and,cc
expended,vbn
as,cs
state,nn
funds,nns
Barber,np
who,wps
is,bez
in,in
his,pp
13th,od
year,nn
as,cs
a,at
legislator,nn
said,vbd
there,ex
are,ber
some,dti
members,nns
of,in
our,pp
congressional,jj
delegation,nn
in,in
Washington,np
who,wps
would,md
like,vb
to,to
see,vb
it,ppo
the,at
resolution,nn
passed,vbn
But,cc
he,pps
added,vbd
that,cs
none,pn
of,in
s,np
congressmen,nns
specifically,rb
asked,vbd
him,ppo
to,to
offer,vb
the,at
resolution,nn
The,at
resolution,nn
which,wdt
Barber,np
tossed,vbd
into,in
the,at
House,nn
hopper,nn
Friday,nr
will,md
be,be
formally,rb
read,vbn
Monday,nr
It,pps
says,vbz
that,cs
in,in
the,at
event,nn
Congress,np
does,doz
provide,vb
this,dt
increase,nn
in,in
federal,jj
funds,nns
the,at
State,nn
Board,nn
of,in
Education,nn
should,md
be,be
directed,vbn
to,to
give,vb
priority,nn
to,in
teacher,nn
pay,nn
raises,nns
Colquitt,np
After,in
a,at
long,jj
hot,jj
controversy,nn
Miller,np
County,nn
has,hvz
a,at
new,jj
school,nn
superintendent,nn
elected,vbn
as,cs
a,at
policeman,nn
put,vbd
it,ppo
in,in
the,at
coolest,jjt
election,nn
I,ppss
ever,rb
saw,vbd
in,in
this,dt
county,nn
The,at
new,jj
school,nn
superintendent,nn
is,bez
Harry,np
Davis,np
a,at
veteran,jj
agriculture,nn
teacher,nn
who,wps
defeated,vbd
Felix,np
Bush,np
a,at
school,nn
principal,nn
and,cc
chairman,nn
of,in
the,at
Miller,np
County,nn
Democratic,jj
Executive,jj
Committee,nn
Davis,np
received,vbd
119,cd
votes,nns
in,in
s,nr
election,nn
and,cc
Bush,np
got,vbd
402,cd
Ordinary,nn
Carey,np
Williams,np
armed,vbn
with,in
a,at
pistol,nn
stood,vbd
by,in
at,in
the,at
polls,nns
to,to
insure,vb
order,nn
This,dt
was,bedz
the,at
coolest,jjt
calmest,jjt
election,nn
I,ppss
ever,rb
saw,vbd
Colquitt,np
Policeman,nn
Tom,np
Williams,np
said,vbd
Being,beg
at,in
the,at
polls,nns
was,bedz
just,rb
like,cs
being,beg
at,in
church,nn
I,ppss
t,dod
smell,vb
a,at
drop,nn
of,in
liquor,nn
and,cc
we,ppss
t,dod
have,hv
a,at
bit,nn
of,in
trouble,nn
The,at
campaign,nn
leading,vbg
to,in
the,at
election,nn
was,bedz
so,ql
quiet,jj
however,wrb
It,pps
was,bedz
marked,vbn
by,in
controversy,nn
anonymous,jj
midnight,nn
phone,nn
calls,nns
and,cc
veiled,vbn
threats,nns
of,in
violence,nn
The,at
former,ap
county,nn
school,nn
superintendent,nn
George,np
Callan,np
shot,vbd
himself,ppl
to,in
death,nn
March,np
18,cd
four,cd
days,nns
after,cs
he,pps
resigned,vbd
his,pp
post,nn
in,in
a,at
dispute,nn
with,in
the,at
county,nn
school,nn
board,nn
During,in
the,at
election,nn
campaign,nn
both,abx
candidates,nns
Davis,np
and,cc
Bush,np
reportedly,rb
received,vbd
anonymous,jj
telephone,nn
calls,nns
Ordinary,nn
Williams,np
said,vbd
he,pps
too,rb
was,bedz
subjected,vbn
to,in
anonymous,jj
calls,nns
soon,rb
after,cs
he,pps
scheduled,vbd
the,at
election,nn
Many,ap
local,jj
citizens,nns
feared,vbd
that,cs
there,ex
would,md
be,be
irregularities,nns
at,in
the,at
polls,nns
and,cc
